Предметы;Товары;Товары с движением;Товары с продажами;% товаров с движением;% товаров с продажами;Продажи;Выручка;Продавцы;Продавцы с продажами;% продавцов с продажами;Минимальная цена;Максимальная цена;Средняя цена;Медианная цена;Минимальная цена с продажами;Максимальная цена с продажами;Средняя цена с продажами;Медианная цена с продажами;Средний рейтинг;Средний % выкупа;Средний % выкупа с учетом возвратов
Рукоделие / Пуговицы;30203;9875;5752;32,69542760652916;19,044465781544883;42991;11591565;646;385;59,59752321981424;0;156226;440,1694533655597;299;50;3714;319,6710709318498;273;4,7003928028383175;91,78;91,15
Аксессуары / Чехлы для брелоков автомобильной сигнализации;7319;2937;2144;40,12843284601722;29,293619346905317;33584;11711674;222;125;56,306306306306304;0;100002;1059,7674545702964;500;50;5010;549,8922574626865;275;4,5852617389350705;94,2;93,35
Спортивный товар / Седла велосипедные;4242;941;622;22,18293257897218;14,662894860914662;11334;11732840;303;149;49,17491749174918;58;95100;3330,0233380480904;1202,5;249;49500;1334,7234726688102;932,5;4,5436013590033975;92,39;91,89
Профессиональные музыкальные инструменты / Струны;19645;1295;860;6,592008144566048;4,377704250445406;24338;11885531;236;118;50;50;230458;2193,6629167727156;1395;77;8517;769,8302325581395;477;4,509905813575837;95,26;94,93
Товары для малышей / Комплекты в коляску;1082;467;369;43,160813308687615;34,10351201478743;15291;11929728;110;50;45,45454545454545;307;87560;1561,2957486136784;965;319;5900;1010,479674796748;843;4,736596736596737;93,28;92,84
Здоровье / Бюстгальтеры ортопедические;612;399;337;65,19607843137254;55,06535947712418;5228;11991169;95;49;51,578947368421055;63;9125;2507,1830065359477;2125,5;242;8590;2681,9376854599404;2290;4,527494908350305;63,6;59,95
Красота / Пробники парфюмерные;34724;5121;3517;14,747724916484275;10,128441423799101;25071;12125938;473;279;58,98520084566596;67;18990;869,643186268863;546;98;4666;585,8296843901052;436;4,1678606001936105;96,35;96,28
Товары для малышей / Конверты для пеленания;3343;1290;963;38,588094525874965;28,806461262339216;19434;12134861;331;156;47,12990936555891;0;28500;1015,7313790008974;765;220;4850;827,1142263759086;697;4,573787772312017;92,43;91,9
Красота / Тележки парикмахерские;1042;333;275;31,95777351247601;26,391554702495203;5229;12226932;117;59;50,42735042735043;150;26000;5223,584452975048;4280,5;350;16170;4245,218181818182;2940;4,202334630350195;91,16;90,54
Спортивный товар / Ремни тактические;2795;979;750;35,0268336314848;26,833631484794275;18744;12263461;427;201;47,07259953161593;35;16150;1127,539534883721;780;162;7645;896,936;659;4,630594900849858;93,92;93,37
